feature,shap_mean
away_shots_target,0.30512714
home_shots_target,0.28057387
h2h_home_win_rate,0.06932255
classement_diff,0.065273315
away_goals_conceded_avg,0.056908205
home_goals_avg,0.052359745
goals_diff,0.050550994
strength_symmetry,0.04880125
defense_diff,0.048225444
home_attack_vs_away_def,0.046655316
draw_prior,0.046551954
home_goals_conceded_avg,0.042323157
away_goals_avg,0.038755324
form_diff,0.038416386
away_attack_vs_home_def,0.03702305
h2h_draw_rate,0.03642898
home_form,0.02950139
fatigue_diff,0.028859548
away_form,0.015758943
